WKT,Name
"LINESTRING(75.6917 42.7861,75.5833 42.75)",MST
"LINESTRING(69.5275 39.8389,69.56 39.94)",MST
"LINESTRING(73.85 42.8333,73.68 42.83)",MST
"LINESTRING(74.85 42.8833,74.6122 42.8747)",MST
"LINESTRING(73.2 41.0333,73 40.9333)",MST
"LINESTRING(72.7833 40.5333,72.8833 40.7)",MST
"LINESTRING(72.7472 41.0417,72.4833 41.0319)",MST
"LINESTRING(72.448 41.2457,72.2167 41.35)",MST
"LINESTRING(72.4833 41.0319,72.448 41.2457)",MST
"LINESTRING(72.7472 41.0417,73 40.9333)",MST
"LINESTRING(75.5833 42.75,75.2833 42.8333)",MST
"LINESTRING(73 40.9333,72.8833 40.7)",MST
"LINESTRING(73.2 41.0333,73.3 40.7667)",MST
"LINESTRING(72.9389 41.8722,72.6686 41.6311)",MST
"LINESTRING(72.55 40.25,72.1306 40.2611)",MST
"LINESTRING(75.2833 42.8333,74.85 42.8833)",MST
"LINESTRING(72.55 40.25,72.7833 40.5333)",MST
"LINESTRING(71.7236 40.1267,72.1306 40.2611)",MST
"LINESTRING(71.7236 40.1267,71.33 39.94)",MST
"LINESTRING(72.2167 41.35,71.75 41.5)",MST
"LINESTRING(71.33 39.94,70.8167 40.0667)",MST
"LINESTRING(72.448 41.2457,72.6686 41.6311)",MST
"LINESTRING(76.1803 42.4611,75.6917 42.7861)",MST
"LINESTRING(73.85 42.8333,74.6122 42.8747)",MST
"LINESTRING(76.1803 42.4611,77.0833 42.65)",MST
"LINESTRING(72.2333 42.5167,72.9389 41.8722)",MST
